currency,risk,ticker,weight
USD,5.0,EWJ,0.0
USD,5.0,EWM,0.0
USD,5.0,EWO,0.0
USD,5.0,EWS,0.0
USD,5.0,EWT,0.0
USD,5.0,EWW,0.0
USD,5.0,EZA,-0.01167320475981608
USD,5.0,GLD,0.2054672402459609
USD,5.0,IBB,0.004048007955953896
USD,5.0,IEF,0.09663011381361768
USD,5.0,IGE,0.0
USD,5.0,ILF,0.0
USD,5.0,IXJ,0.0
USD,5.0,IXP,0.0
USD,5.0,IYC,0.041487680304764255
USD,5.0,IYG,0.0
USD,5.0,IYT,0.0
USD,5.0,LQD,0.0
USD,5.0,PA=F,0.010253011526749513
USD,5.0,PBJ,0.0
USD,5.0,PBW,-0.1194695950236861
USD,5.0,PEJ,0.0
USD,5.0,SHY,0.0
USD,5.0,SI=F,0.0
USD,5.0,SMH,0.192974886846421
USD,5.0,TIP,0.0
USD,5.0,VDC,0.17536637914664802
USD,5.0,VNQ,0.0
USD,5.0,VOX,0.0
USD,5.0,VPU,0.0023631655557838694
USD,5.0,VWO,-0.03603019535108503
USD,5.0,XLB,0.0
USD,5.0,^BSESN,0.008098458694987909
USD,5.0,^HSI,0.0
USD,5.0,EUR,0.0
USD,5.0,SGD,0.0
USD,5.0,USD,0.0
USD,6.0,399001.SZ,0.05898058108574876
USD,6.0,AGG,0.0
USD,6.0,BBH,0.058614933170689144
USD,6.0,DBC,0.0
USD,6.0,DVY,0.0
USD,6.0,EPP,0.0
USD,6.0,EWH,0.0
USD,6.0,EWJ,0.0
USD,6.0,EWM,0.0
USD,6.0,EWO,0.0
USD,6.0,EWS,0.0
USD,6.0,EWT,0.0
USD,6.0,EWW,0.0
USD,6.0,EZA,-0.0022099938232837796
USD,6.0,GLD,0.25247408485661094
USD,6.0,IBB,0.0
USD,6.0,IEF,0.008989945259220618
USD,6.0,ILF,0.0
USD,6.0,IXJ,0.0
USD,6.0,IXP,0.0
USD,6.0,IYC,0.013037509700221644
USD,6.0,IYE,0.0
USD,6.0,IYG,0.0
USD,6.0,IYT,0.0
USD,6.0,LQD,0.0
USD,6.0,PA=F,0.012698149183359665
USD,6.0,PBJ,0.0
USD,6.0,PBW,-0.14455800752081582
USD,6.0,PEJ,0.0
USD,6.0,SHY,0.0
USD,6.0,SI=F,0.0
USD,6.0,SMH,0.2383547717232938
USD,6.0,TIP,0.0
USD,6.0,VDC,0.20663965662784703
USD,6.0,VNQ,0.0
USD,6.0,VOX,0.0
USD,6.0,VPU,0.00026351306782426074
USD,6.0,VWO,-0.003178853981084509
USD,6.0,XLB,0.0
USD,6.0,^BSESN,0.0
USD,6.0,^HSI,0.0
USD,6.0,EUR,0.0
USD,6.0,SGD,0.0
USD,6.0,USD,0.0
USD,7.0,399001.SZ,0.05884973787377202
USD,7.0,AGG,0.0
USD,7.0,BBH,0.08004263807448021
USD,7.0,DBC,0.0
USD,7.0,EPP,0.0
USD,7.0,EWH,0.0
USD,7.0,EWJ,0.0
USD,7.0,EWM,0.0
USD,7.0,EWO,0.0
USD,7.0,EWS,0.0
USD,7.0,EWT,0.0
USD,7.0,EWW,0.0
USD,7.0,EZA,0.0
USD,7.0,FXI,0.0
USD,7.0,GLD,0.30410403363866634
USD,7.0,IBB,0.0
USD,7.0,IEF,0.0
USD,7.0,ILF,0.0
USD,7.0,IXJ,0.0
USD,7.0,IXP,0.0
USD,7.0,IYC,0.0
USD,7.0,IYE,0.0
USD,7.0,IYG,0.0
USD,7.0,IYT,0.0
USD,7.0,LQD,0.0
USD,7.0,PA=F,0.02487574108462698
USD,7.0,PBJ,0.0
USD,7.0,PBW,-0.10388717792623654
USD,7.0,PEJ,0.0
USD,7.0,SHY,0.0
USD,7.0,SI=F,0.0
USD,7.0,SMH,0.330129709793453
USD,7.0,TIP,0.0
