Date,DIA,EEM,EFA,EWA,EWC,EWD,EWG,EWH,EWI,EWJ,EWM,EWP,EWS,EWU,GLD,IWM,LQD,MDY,QQQ,SPY,TIP,TLT,VTI,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2009-05-01,59.776371002197266,23.569093704223633,29.027917861938477,8.06877326965332,16.40325355529785,10.977800369262695,12.995125770568848,8.475972175598145,20.680837631225586,28.583057403564453,14.498522758483887,20.29881477355957,9.690855979919434,14.614713668823242,96.19999694824219,40.2010498046875,53.740901947021484,85.74972534179688,30.703670501708984,68.72919464111328,66.64888763427734,59.105472564697266,34.58146667480469,19.181594848632812,30.609708786010742,7.444581031799316,16.481977462768555,14.11741828918457,14.898962020874023,15.120964050292969,19.56009864807129,18.835432052612305
2009-06-01,59.440696716308594,22.852943420410156,28.024635314941406,8.23044204711914,15.210285186767578,10.661187171936035,12.081304550170898,8.212964057922363,19.617799758911133,28.766088485717773,14.63002872467041,20.48724365234375,9.37891674041748,14.06120491027832,91.18000030517578,40.930233001708984,55.288238525390625,86.18392944335938,31.571483612060547,68.29839324951172,66.95286560058594,59.53680419921875,34.53669738769531,18.214397430419922,28.459684371948242,7.274144172668457,16.093563079833984,14.565339088439941,14.815184593200684,15.753595352172852,19.9235897064209,18.802839279174805
2009-07-01,64.57594299316406,25.576547622680664,31.493988037109375,9.301660537719727,17.259912490844727,13.000662803649902,13.9587984085083,9.291886329650879,21.55371856689453,30.27156639099121,16.23719596862793,23.55565071105957,11.031516075134277,15.530364990234375,93.3499984741211,44.52803421020508,57.881248474121094,93.7123031616211,34.2778205871582,73.80840301513672,66.99937438964844,59.88184356689453,37.393959045410156,20.667621612548828,30.135082244873047,7.960219860076904,17.61758041381836,15.828428268432617,15.922102928161621,16.533056259155273,21.210969924926758,20.674936294555664
2009-08-01,67.05381774902344,25.240577697753906,32.91217803955078,9.960098266601562,16.96036148071289,13.550239562988281,14.492475509643555,8.734617233276367,23.390676498413086,31.345029830932617,16.104101181030273,24.85678482055664,10.717228889465332,16.202299118041992,93.4000015258789,45.99466323852539,58.6234245300293,97.79926300048828,34.78176498413086,76.53488159179688,67.53550720214844,61.208518981933594,38.78169631958008,21.15733528137207,30.462512969970703,8.994253158569336,18.4586181640625,16.085535049438477,16.116907119750977,16.69873046875,21.781776428222656,21.403095245361328
2009-09-01,68.73401641845703,27.813961029052734,34.16169738769531,11.104988098144531,18.172832489013672,13.692060470581055,15.379632949829102,9.400921821594238,24.994958877563477,30.486265182495117,16.8693790435791,26.038206100463867,11.261995315551758,16.809207916259766,98.8499984741211,48.43916320800781,59.655784606933594,103.01282501220703,36.71070098876953,78.87290954589844,68.56916046142578,62.7242317199707,40.19943618774414,21.9593505859375,32.09965133666992,9.141097068786621,19.432464599609375,16.76848602294922,16.532485961914062,16.755863189697266,21.819835662841797,22.474878311157227
2009-10-01,68.83563995361328,26.8560848236084,33.29952621459961,10.775773048400879,17.010290145874023,13.875256538391113,14.554855346679688,9.406974792480469,23.500896453857422,29.290119171142578,17.4516544342041,25.231510162353516,10.979135513305664,16.787532806396484,102.52999877929688,45.401729583740234,59.37508010864258,98.66674041748047,35.62428283691406,77.72500610351562,69.9546890258789,61.08736038208008,39.32218551635742,20.91023063659668,33.037540435791016,8.623190879821777,18.756723403930664,16.621002197265625,16.89251136779785,16.386281967163086,21.457128524780273,22.014373779296875
2009-11-01,73.52833557128906,28.964832305908203,34.60527420043945,11.463692665100098,18.47951316833496,14.318453788757324,15.594489097595215,9.606867790222168,24.174455642700195,29.320798873901367,18.067201614379883,26.62111473083496,11.901045799255371,17.632871627807617,115.63999938964844,46.820274353027344,60.52490234375,102.807373046875,37.885597229003906,82.51341247558594,71.70927429199219,61.82181167602539,41.56034469604492,23.16233253479004,33.97633361816406,8.997578620910645,20.40321159362793,17.540353775024414,17.513797760009766,17.17702865600586,23.45223617553711,23.491853713989258
2009-12-01,74.11790466308594,29.665363311767578,34.53655242919922,11.222920417785645,18.77907371520996,13.887070655822754,15.552897453308105,9.485721588134766,23.89278221130371,29.872859954833984,17.667932510375977,25.002513885498047,12.037242889404297,17.557008743286133,107.30999755859375,50.326351165771484,59.04592514038086,108.6636962890625,39.79030990600586,83.63921356201172,70.14334869384766,57.69523620605469,42.479713439941406,23.51154136657715,34.0899543762207,8.838010787963867,20.610876083374023,18.491966247558594,17.311059951782227,17.90428352355957,23.750364303588867,24.435800552368164
2010-01-01,71.88915252685547,27.59266471862793,33.085601806640625,10.662381172180176,17.59512710571289,13.458934783935547,14.106308937072754,8.982043266296387,21.923280715942383,30.45189094543457,17.787755966186523,22.9996280670166,11.552499771118164,16.918121337890625,105.95999908447266,48.64509201049805,60.28963088989258,105.56304168701172,37.278011322021484,81.03347778320312,71.52073669433594,59.64939880371094,41.22591018676758,21.599145889282227,32.76642608642578,8.735289573669434,20.4387264251709,16.963939666748047,17.296764373779297,17.246625900268555,24.042966842651367,23.85957908630371
2010-02-01,73.85525512695312,28.082809448242188,33.17386245727539,11.187923431396484,18.65342140197754,14.110560417175293,13.905181884765625,9.473198890686035,21.031484603881836,30.761367797851562,18.023799896240234,21.6171875,11.798977851867676,16.77558708190918,109.43000030517578,50.82201385498047,60.3353271484375,110.90331268310547,38.99422073364258,83.5613021850586,70.44951629638672,59.23583221435547,42.64408493041992,22.57375717163086,33.75242614746094,9.043303489685059,21.528587341308594,17.554773330688477,17.84471893310547,17.01885223388672,24.13520050048828,25.188322067260742
