Date,VTI
2021-04-01,204.136962890625
2021-05-01,205.0677947998047
2021-06-01,209.51536560058594
2021-07-01,213.80764770507812
2021-08-01,219.9193878173828
2021-09-01,209.44073486328125
2021-10-01,224.15216064453125
2021-11-01,220.87843322753906
2021-12-01,228.43821716308594
2022-01-01,215.36473083496094
2022-02-01,210.00936889648438
2022-03-01,216.18136596679688
2022-04-01,197.0531005859375
2022-05-01,196.5577850341797
2022-06-01,179.660400390625
2022-07-01,197.23825073242188
2022-08-01,189.88426208496094
2022-09-01,171.6283721923828
2022-10-01,186.33998107910156
2022-11-01,195.972412109375
2022-12-01,183.61248779296875
2023-01-01,197.27427673339844
2023-02-01,192.5361328125
2023-03-01,196.95584106445312
2023-04-01,199.87985229492188
2023-05-01,200.73243713378906
2023-06-01,213.42477416992188
